34,45,31,33,29,42,28,17,20,13,26,42,21,3,46,48
35,42,18,47,7,3,42,27,42,12,36,27,4,33,45,18
12,20,20,16,35,11,32,4,28,3,43,13,49,47,23,45
9,42,28,30,49,43,1,4,31,42,7,3,20,47,12,7
2,3,44,22,11,34,40,34,16,47,10,28,8,7,24,19
45,44,39,31,45,17,10,27,33,30,12,20,16,6,0,28
28,4,11,35,22,23,6,16,12,25,12,14,17,27,44,36
50,12,24,19,18,37,23,6,25,41,10,21,6,30,27,37
50,20,32,31,38,9,50,20,42,17,2,46,22,42,9,0
4,10,41,20,26,26,38,35,10,28,5,12,35,6,44,18
30,18,3,10,7,39,3,15,36,18,31,24,10,9,43,11
45,4,25,32,23,43,13,1,37,48,30,22,7,7,21,40
1,18,9,9,44,30,9,37,5,49,11,13,13,14,0,49
48,12,4,12,9,5,6,23,32,26,17,48,4,48,42,18
15,0,10,16,47,28,28,45,43,31,20,9,21,45,15,0
24,34,28,5,49,21,1,20,6,8,9,20,10,11,15,43
